,timestamp,Date,epoch,asset,opened_at,owner,iasset_staked
0,1694814300,2023-09-15,437,iETH,1672963428,198836d653f267dfed06bd383b80539c50f3ab6d6e7e0de11d9b723e,964
1,1694814300,2023-09-15,437,iETH,1672974498,43b8e3375ecf90169230d91ce92863d0b041ed4c8668cc87d17ea980,4693
2,1694814300,2023-09-15,437,iETH,1673036542,58565b9a0b90f766dad48a3cb365453b452565ecb6773a55a5517b48,613695
3,1694814300,2023-09-15,437,iETH,1673047357,405966152e910c43c45f1d21d8420d7ce66c604b9750824741970780,494
4,1694814300,2023-09-15,437,iETH,1673525561,4199f4bb58f9b3c60dec5310a8326d46c90318b83d2e96ff45f30bf1,33
5,1694814300,2023-09-15,437,iETH,1673468278,f9f1d44d00b15f63b1aac48dd4e3b4738bec1c79cef84b67ef5c69e4,524
6,1694814300,2023-09-15,437,iETH,1673239621,bdb8c089708bb3dd3c626bb9a286a3aacbf77517b9643161db4a1452,86
7,1694814300,2023-09-15,437,iETH,1673191528,117a220650f577db973565412c705745e0cac69c796d137e977267a0,1
8,1694814300,2023-09-15,437,iETH,1673001704,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,101375
9,1694814300,2023-09-15,437,iETH,1676010477,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,15356
10,1694814300,2023-09-15,437,iETH,1676040520,ed3122194af84dbc350676f420b1927209b40cf0d239ec26a5cc8623,315885
11,1694814300,2023-09-15,437,iETH,1673039068,5016a30bc3c1a609d20be6cd2ea1f87bf5b49bcf2f8ecdb1d21cceff,2
12,1694814300,2023-09-15,437,iETH,1676563504,bffe2a2f3dde97b96f94f5cdde3957828c61db930faba0e4b2afbb46,61869
13,1694814300,2023-09-15,437,iETH,1677954161,435ac6984516a80bf6a9e7d16ba8431add7b4f44083131ab8dce0097,115385
14,1694814300,2023-09-15,437,iETH,1678154289,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,21969
15,1694814300,2023-09-15,437,iETH,1675957813,e8aa119715131d1dc98e1703729210cc98b1883773fefc5177cbfdb9,99
16,1694814300,2023-09-15,437,iETH,1678422827,6efc2b7d458837222c6305866822d7d3039f9b436dc7eeda2ebabd4e,6802
17,1694814300,2023-09-15,437,iETH,1674979085,ce6885bef0ae899503bec94142f5c2d8f8d25973ddb50e1c5dca5c1e,1134
18,1694814300,2023-09-15,437,iETH,1676472427,7bfcb0b4a3974232c21fe4440a2befb5aff58093e9582c9d447c1e0d,595
19,1694814300,2023-09-15,437,iETH,1679037320,694c58617bbb8e3ee1602b3c10a7abe0ea0b46a7a60fe01846fba3b2,34526
20,1694814300,2023-09-15,437,iETH,1675562534,89d095d531c5d92be599e65bfe27c44652b2cf99b72a332427e9d8a2,35525
21,1694814300,2023-09-15,437,iETH,1679500280,42a1f1254b83222880c10986170dff3d174299a9b6601511d369a189,288285
22,1694814300,2023-09-15,437,iETH,1680091680,93fb8feafbe7b27f8ccddb6c42676e5c85698c605c6627728507d8fc,786
23,1694814300,2023-09-15,437,iETH,1680287933,19c1be2fd0ce6e32cde0185dd60a56edc288d8de6243c1ca4e569f51,107
24,1694814300,2023-09-15,437,iETH,1680472793,d1b4a2e733c66382f3c60bf7a43803b57e44c07d5efe87bf8c4185ee,111531
25,1694814300,2023-09-15,437,iETH,1680526573,70412db01246a610b0e448401967f8c79afad0c1eda5cc75b2c252f7,1488
26,1694814300,2023-09-15,437,iETH,1680977908,875b60897b0b855c13d7cab2fa168fe63bce45ed7e657bdd951b5972,48151
27,1694814300,2023-09-15,437,iETH,1681286315,84e650cc71a2cc4a1e57241565b32d0b24ba3ed2a8726bbd11c76ef7,22497
28,1694814300,2023-09-15,437,iETH,1678960819,4e5426811df99e191ae0bc3eca64836e561a07d1623b16f94828240b,3
29,1694814300,2023-09-15,437,iETH,1675902285,2b3f8ce415f63a81454d53882a00a4d2225e1284c257a8b14ecb4c22,2
30,1694814300,2023-09-15,437,iETH,1673008874,af91dcc8800fad79990ad47efc93335efb93b85b15f01ad0570b0924,136326
31,1694814300,2023-09-15,437,iETH,1673312205,8707ca72180e998be7256d3ca209f1018ee51fc9f9e1d55fd1d962ae,2121
32,1694814300,2023-09-15,437,iETH,1679242215,aa67df191de68ac9224c3425b62b628becbb3d001d0ba78f1dacac4e,19
33,1694814300,2023-09-15,437,iETH,1682330560,609ec540fc0fe4aa910919d0f5a2a5dfda7db6cb7f9b4c73c285bb22,46302
34,1694814300,2023-09-15,437,iETH,1682654734,38182d9874dbabb161ffff5e21c81a58b8134ff7f34f2407903dba6c,7593
35,1694814300,2023-09-15,437,iETH,1682580437,bbc489f4c0a227930bdf92a3fd265427280735a5254c1de2120276f8,97801
36,1694814300,2023-09-15,437,iETH,1682819898,a179c06273cc4b1676137e136a2ef23e7cf4a3ea8b07f359a13f88a2,6198
37,1694814300,2023-09-15,437,iETH,1676542578,8d995bf956bbf2a69b6549ca3a6830e9292b0d2641e9fa520d0f294d,149894
38,1694814300,2023-09-15,437,iETH,1682970481,7a7fe8f80addd82b29adc3d5f017985c04c21eac82da3072fb95ba30,1148
39,1694814300,2023-09-15,437,iETH,1681912080,34589e061b2fcffb9f07e7109d77a14c7c7f55f15f5a52d5ebe6c94e,16395
40,1694814300,2023-09-15,437,iETH,1683481411,afd3aaa6c6cff952df201e8b6aa2e2e06e080f61f9fcbabc1997b42b,143223
41,1694814300,2023-09-15,437,iETH,1683522991,57e5858c1df6db74f151486eedd33dec6790c38e79d12b69e2add37e,75705
42,1694814300,2023-09-15,437,iETH,1684400957,206d0b9f1190d040970e6a139ec20333570c9f73098ab4f8c5772536,43663
43,1694814300,2023-09-15,437,iETH,1684439476,241ecd4e529840fd1d3c3a44abf3e5f3d65c6312fa1203025234ade4,7094
44,1694814300,2023-09-15,437,iETH,1680588771,7bca37d84a32420442867cc57a31d617763def3c9963f639c58ff001,357050
45,1694814300,2023-09-15,437,iETH,1684791156,9913007f4d5d7d0bdfde593a74f1cc948368d29881aa3efab60a6338,43606
46,1694814300,2023-09-15,437,iETH,1684996899,0ad45bd4425847c0893b6a9135dc9086793f21620bf46205901be98a,122273
47,1694814300,2023-09-15,437,iETH,1685238381,731c4e0664571b4ea0a1b9279f3b9dc10ae79bd38908a7b30ecefe22,608
48,1694814300,2023-09-15,437,iETH,1682932359,8bb170899ad086aaf786240e8429aaae18448301ad0d2ab068d38f4a,2
49,1694814300,2023-09-15,437,iETH,1685796144,c8ca667b94b226c0400fc4f3f8ce935ef841edd752b09fbf28b1cb16,11
50,1694814300,2023-09-15,437,iETH,1685919732,84b2dddf4357c2589e7d431a055e3b0db4149b94240c63ecb1b676f2,14878992
51,1694814300,2023-09-15,437,iETH,1685327912,a33c563393379855e9b6f66e6830ceac659fac8982b06d4128b21722,8099
52,1694814300,2023-09-15,437,iETH,1686005851,6d6912b202d92f19e9b506ce91eb315f764d0eb5aaf86598b6408dd0,37210
53,1694814300,2023-09-15,437,iETH,1686153357,93c8ee55e003b8ac9b1be4260e01d9f03ef35e8cb8ad07fc04c86f80,255680
54,1694814300,2023-09-15,437,iETH,1675735940,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,205
55,1694814300,2023-09-15,437,iETH,1680773678,512f425cedae5c11513155242686e5039b766c7ae798515b68a364e7,3834
56,1694814300,2023-09-15,437,iETH,1675968143,508757f097d3f23cb9e51cc9d35a550b2f2f9bedea6326229950647f,12128
