,timestamp,Date,epoch,asset,opened_at,owner,iasset_staked
0,1683495900,2023-05-07,411,iETH,1672963428,198836d653f267dfed06bd383b80539c50f3ab6d6e7e0de11d9b723e,1633
1,1683495900,2023-05-07,411,iETH,1672974498,43b8e3375ecf90169230d91ce92863d0b041ed4c8668cc87d17ea980,7953
2,1683495900,2023-05-07,411,iETH,1673012843,b95d828645f43c1711afad5a374ea6879f95832f50bf249e5e2a8820,475338
3,1683495900,2023-05-07,411,iETH,1673026098,5afed21982af746c785bc7e91a951ae5c5fe8460bdc4f9064b6bd0b5,2910285
4,1683495900,2023-05-07,411,iETH,1673036542,58565b9a0b90f766dad48a3cb365453b452565ecb6773a55a5517b48,1039950
5,1683495900,2023-05-07,411,iETH,1673037711,bf80faca49b6c4b820d11fd8028343afde02b4e9cfeded543c4650b9,58853
6,1683495900,2023-05-07,411,iETH,1673047357,405966152e910c43c45f1d21d8420d7ce66c604b9750824741970780,838
7,1683495900,2023-05-07,411,iETH,1673068616,5a41cab4804c774e0d9d277a19e2e3716fefd6e4d164fa8a771a1ba8,2559663
8,1683495900,2023-05-07,411,iETH,1673525561,4199f4bb58f9b3c60dec5310a8326d46c90318b83d2e96ff45f30bf1,56
9,1683495900,2023-05-07,411,iETH,1673784557,38a6b071d8b300a0a8219cb49ae293024f466985a89f62d6188d0388,15658
10,1683495900,2023-05-07,411,iETH,1673468278,f9f1d44d00b15f63b1aac48dd4e3b4738bec1c79cef84b67ef5c69e4,889
11,1683495900,2023-05-07,411,iETH,1673239621,bdb8c089708bb3dd3c626bb9a286a3aacbf77517b9643161db4a1452,145
12,1683495900,2023-05-07,411,iETH,1673191528,117a220650f577db973565412c705745e0cac69c796d137e977267a0,3
13,1683495900,2023-05-07,411,iETH,1673132566,ecf6df3e564fb3214117ff1ba3fb4532e6d1f2fb80c0015027b291b8,19
14,1683495900,2023-05-07,411,iETH,1673001704,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,171788
15,1683495900,2023-05-07,411,iETH,1675929556,4334543b893cd23468515ab99c3e26177f5037d42b5cf90f637d67c7,313879
16,1683495900,2023-05-07,411,iETH,1673170590,451fe314c4e9a41bb5804455fb4057afc1cbf2b74cde2d3d737b3354,20651
17,1683495900,2023-05-07,411,iETH,1676010477,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,26022
18,1683495900,2023-05-07,411,iETH,1676040520,ed3122194af84dbc350676f420b1927209b40cf0d239ec26a5cc8623,535290
19,1683495900,2023-05-07,411,iETH,1676077967,c8deaac83b9ca7f1a985b6c69adf60da07c2b3becfd2fd9a69f22b62,47580
20,1683495900,2023-05-07,411,iETH,1672965623,009db4768f9eaf740e4de81848de05581bc52b543577fa5b70a89169,103827
21,1683495900,2023-05-07,411,iETH,1673039068,5016a30bc3c1a609d20be6cd2ea1f87bf5b49bcf2f8ecdb1d21cceff,3
22,1683495900,2023-05-07,411,iETH,1676224257,3275cd12069ac276583185e43e3c480e3c984ff72f3ecf3ec6c0216a,96501
23,1683495900,2023-05-07,411,iETH,1676343279,4cb2eb343a9f29be1c2550732c532cf3d2a846cce4b12691379bdc70,19507
24,1683495900,2023-05-07,411,iETH,1674823300,bc5fd0a5a090b13db7903844363ac73377c2bcf0aa027621dc02dc64,17427
25,1683495900,2023-05-07,411,iETH,1672984872,e4a3572c85228edfa7ee4d015fa55fd6c93d181597f86859aaabca91,201539
26,1683495900,2023-05-07,411,iETH,1673002573,74d000119e43e7c637f1ab64524de42031796d7f7a09edf7fe2697e0,140616
27,1683495900,2023-05-07,411,iETH,1676528360,d8873d99d8bac628cb99a6bfc97e0c7c1553286d4a62aedde875354b,7810
28,1683495900,2023-05-07,411,iETH,1676536879,8d589e8e00fdadd913c2f769b43d341a03fc6ce5823456e7a3deaa01,29184
29,1683495900,2023-05-07,411,iETH,1676563504,bffe2a2f3dde97b96f94f5cdde3957828c61db930faba0e4b2afbb46,104842
30,1683495900,2023-05-07,411,iETH,1676874827,cbf2fe83219efa63b2e1d6c43e53fefa9280e4e862b5cc88d5bdaf7d,312206
31,1683495900,2023-05-07,411,iETH,1673546438,623f00f49ed872b8fde76a4d5520f4ff63e50dec00b938701fe2aedd,112161
32,1683495900,2023-05-07,411,iETH,1677063338,17e6192c507aa42939888c9354ab8ad76b387cdd923668c0999a198b,11005
33,1683495900,2023-05-07,411,iETH,1675735940,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,98646
34,1683495900,2023-05-07,411,iETH,1676689619,2e0d4073c7b1ce2db579b5da69d9db0268f9e0be8798643945966c69,5
35,1683495900,2023-05-07,411,iETH,1677314014,d5783eeb99454513796d07833a55b33d041157aa2557f641d50b7f13,78
36,1683495900,2023-05-07,411,iETH,1677954161,435ac6984516a80bf6a9e7d16ba8431add7b4f44083131ab8dce0097,195529
37,1683495900,2023-05-07,411,iETH,1677956367,cb07fef02adf81a4bb0ee3ec992f392a4ecd92774619a97be8f086b9,56727
38,1683495900,2023-05-07,411,iETH,1678154289,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,37229
39,1683495900,2023-05-07,411,iETH,1673039448,65fe5aecb5e29a5ed212fcbddda174205fb47bf6e379fd275962c68e,184819
40,1683495900,2023-05-07,411,iETH,1675957813,e8aa119715131d1dc98e1703729210cc98b1883773fefc5177cbfdb9,168
41,1683495900,2023-05-07,411,iETH,1675607573,5a3d4f39ee17e2b67b6dd93ba71379a098b16f5f1839a069ce9533f4,75484
42,1683495900,2023-05-07,411,iETH,1678263590,dbf5237efea8d4014dd9dd124d0c1f8798e92e1e2016cf670eaf1424,66724
43,1683495900,2023-05-07,411,iETH,1678422827,6efc2b7d458837222c6305866822d7d3039f9b436dc7eeda2ebabd4e,11527
44,1683495900,2023-05-07,411,iETH,1672994233,ac293f8851bccc597d9f23b7b76bb9afca7bf65e42c93fd9e51ebadb,1
45,1683495900,2023-05-07,411,iETH,1674979085,ce6885bef0ae899503bec94142f5c2d8f8d25973ddb50e1c5dca5c1e,1922
46,1683495900,2023-05-07,411,iETH,1674721263,ee0d3f0402347e81228151903cf5249eb6303bf0e78b4f488263db90,34047
47,1683495900,2023-05-07,411,iETH,1678753796,6c2c506ec04e624743404ae1688a4fc6f668de7ac6990612e26246d0,15222
48,1683495900,2023-05-07,411,iETH,1678759894,09575db3a66d29e820a464f9a5784aa42e3efd96396413c15d5a1160,45588
49,1683495900,2023-05-07,411,iETH,1672963946,1e61ba002313273dbf2ef3ccd28b42a333ce09370e7377728691b944,10344
50,1683495900,2023-05-07,411,iETH,1675646688,eb4632e83ff3219e6198dfda1fda37ffe0006dc4673dca0adebed6f0,63478
51,1683495900,2023-05-07,411,iETH,1675720979,8bb9c1842b5df8a44359e65982adb4d2a7d0cb745a2b8488592e3d9f,31030
52,1683495900,2023-05-07,411,iETH,1678960206,1b4b4f86e5b81b5bb2670e1931718f26ea863c50da0e018d9f1aee30,171738
53,1683495900,2023-05-07,411,iETH,1676472427,7bfcb0b4a3974232c21fe4440a2befb5aff58093e9582c9d447c1e0d,1008
54,1683495900,2023-05-07,411,iETH,1672970726,e8f80ab5a500784837cb0784bd69af8872dba96fd5a2f397e0d21c02,1
