epoch,addr,purpose,date,amount,Expiration,AvailableAt
439,198836d653f267dfed06bd383b80539c50f3ab6d6e7e0de11d9b723e,SP reward for iETH,23 September 2023,716,26-12-2023 21:45,27-09-2023 23:00
439,43b8e3375ecf90169230d91ce92863d0b041ed4c8668cc87d17ea980,SP reward for iETH,23 September 2023,3487,26-12-2023 21:45,27-09-2023 23:00
439,58565b9a0b90f766dad48a3cb365453b452565ecb6773a55a5517b48,SP reward for iETH,23 September 2023,456017,26-12-2023 21:45,27-09-2023 23:00
439,405966152e910c43c45f1d21d8420d7ce66c604b9750824741970780,SP reward for iETH,23 September 2023,368,26-12-2023 21:45,27-09-2023 23:00
439,4199f4bb58f9b3c60dec5310a8326d46c90318b83d2e96ff45f30bf1,SP reward for iETH,23 September 2023,24,26-12-2023 21:45,27-09-2023 23:00
439,f9f1d44d00b15f63b1aac48dd4e3b4738bec1c79cef84b67ef5c69e4,SP reward for iETH,23 September 2023,389,26-12-2023 21:45,27-09-2023 23:00
439,bdb8c089708bb3dd3c626bb9a286a3aacbf77517b9643161db4a1452,SP reward for iETH,23 September 2023,64,26-12-2023 21:45,27-09-2023 23:00
439,117a220650f577db973565412c705745e0cac69c796d137e977267a0,SP reward for iETH,23 September 2023,1,26-12-2023 21:45,27-09-2023 23:00
439,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,SP reward for iETH,23 September 2023,75329,26-12-2023 21:45,27-09-2023 23:00
439,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,SP reward for iETH,23 September 2023,11410,26-12-2023 21:45,27-09-2023 23:00
439,ed3122194af84dbc350676f420b1927209b40cf0d239ec26a5cc8623,SP reward for iETH,23 September 2023,234724,26-12-2023 21:45,27-09-2023 23:00
439,5016a30bc3c1a609d20be6cd2ea1f87bf5b49bcf2f8ecdb1d21cceff,SP reward for iETH,23 September 2023,1,26-12-2023 21:45,27-09-2023 23:00
439,bffe2a2f3dde97b96f94f5cdde3957828c61db930faba0e4b2afbb46,SP reward for iETH,23 September 2023,45973,26-12-2023 21:45,27-09-2023 23:00
439,435ac6984516a80bf6a9e7d16ba8431add7b4f44083131ab8dce0097,SP reward for iETH,23 September 2023,85739,26-12-2023 21:45,27-09-2023 23:00
439,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,SP reward for iETH,23 September 2023,16324,26-12-2023 21:45,27-09-2023 23:00
